model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_2,gjr_t,6,629,0.025,-2.3818421848300866,-3.0675785897497754,-1.900269615108257,-2.369429835884633,-1.9474315369063548,-2.3746747484293564
chronos_2,gjr_t,6,629,0.05,-1.9207033904238042,-2.596526541968372,-1.5546047127744445,-2.039409304353735,-1.5933712741653423,-2.063804134427627
chronos_2,gjr_t,6,645,0.01,-3.5525570693726882,-4.404288144962368,-2.713537069859709,-3.2796862041383874,-2.7599902284482667,-3.1622993648017803
chronos_2,gjr_t,6,645,0.025,-2.8283535308568717,-3.642641309637672,-2.1939630668512815,-2.7613826904083973,-2.2852566800953307,-2.7609744417780107
chronos_2,gjr_t,6,645,0.05,-2.2807674877172706,-3.0832836279888625,-1.78499451753988,-2.364567676857653,-1.8693929697423233,-2.409416242184072
chronos_2,gjr_t,6,662,0.01,-4.504894346896807,-5.584949764043931,-3.2199804660441305,-3.904732259070184,-3.2705714661669245,-3.896689009232198
chronos_2,gjr_t,6,662,0.025,-3.5865528922896743,-4.619127553229473,-2.6010544970530685,-3.280829329095833,-2.6566262614486504,-3.3104027719692817
chronos_2,gjr_t,6,662,0.05,-2.8921749493014786,-3.9098223376490844,-2.1177959565908226,-2.8071542898932806,-2.1742401278558914,-2.849748711967814
chronos_2,gjr_t,6,679,0.01,-3.2507474918757384,-4.030119252457951,-2.839478031955791,-3.448656360769367,-2.9410299864390153,-3.467062319841807
chronos_2,gjr_t,6,679,0.025,-2.5880690913698374,-3.333178572469368,-2.2861196010811113,-2.892750287860645,-2.39831844580868,-2.966155300496781
chronos_2,gjr_t,6,679,0.05,-2.0870035429319223,-2.8213414520026796,-1.8529196669493158,-2.469545700910753,-1.9592996052605067,-2.5609536373814503
chronos_2,gjr_t,6,696,0.01,-3.2508505752348524,-4.030247050212532,-2.894352491444294,-3.499700326753756,-2.913489041895782,-3.37531795573197
chronos_2,gjr_t,6,696,0.025,-2.5881511607573318,-3.3332842697727223,-2.339878767138762,-2.9458477410268555,-2.4039156495232907,-2.9253797137744395
chronos_2,gjr_t,6,696,0.05,-2.0870697231985305,-2.8214309186114535,-1.9038876875212427,-2.5222689526865514,-1.9751640324377604,-2.5468047102214757
chronos_2,gjr_t,6,712,0.01,-4.0501371793552545,-5.021163859207336,-3.279028179969156,-3.9895040991025503,-3.401205857754473,-3.8929370392358242
chronos_2,gjr_t,6,712,0.025,-3.2244998653060035,-4.1528388456892475,-2.6436501997755144,-3.3443006967241913,-2.822799919504138,-3.402967770857079
chronos_2,gjr_t,6,712,0.05,-2.6002175388274744,-3.515136115299658,-2.1503274154901177,-2.8573042967198394,-2.317099486536594,-2.974587536882572
chronos_2,gjr_t,6,729,0.01,-3.269778361878093,-4.053712803104131,-2.739726509381876,-3.3760331528347374,-2.907815574478316,-3.3653336638516
chronos_2,gjr_t,6,729,0.025,-2.603220439346899,-3.3526920192276384,-2.189857696934857,-2.8042320130470637,-2.395149926942231,-2.9171993264070077
chronos_2,gjr_t,6,729,0.05,-2.0992214999461942,-2.8378584477212043,-1.770552988315322,-2.380614514185487,-1.9598210561326577,-2.5366670710699286
chronos_2,gjr_t,6,746,0.01,-3.027257676907974,-3.7530474072036344,-2.882667161879366,-3.5579050535831067,-2.9846131526724298,-3.48138277335503
chronos_2,gjr_t,6,746,0.025,-2.410138604981833,-3.1040215972575353,-2.2966425132693082,-2.950325491396878,-2.4417483667647284,-2.999012697169967
chronos_2,gjr_t,6,746,0.05,-1.9435214555619835,-2.6273734244506133,-1.8487593494221373,-2.4991535740256214,-1.9875860999656023,-2.595460481363649
chronos_2,gjr_t,6,762,0.01,-2.7635394905625272,-3.4261023760468725,-2.6607007398432274,-3.3039849369301977,-2.7501944646408254,-3.194185502498215
chronos_2,gjr_t,6,762,0.025,-2.200180468086083,-2.8336161566338105,-2.1100987879004798,-2.7275880458558808,-2.2536814016037505,-2.7596042076060017
