layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
lag_llama:e3,audusd,low,2017,0.09221616261774913,9.999000099990002e-05,False,0.41587686174281285
lag_llama:e3,audusd,high,716,0.10754189944134078,9.999000099990002e-05,False,0.7683750715588112
lag_llama:e3,brent,low,2216,0.08348375451263539,9.999000099990002e-05,False,1.8352248051928841
lag_llama:e3,brent,high,424,0.1320754716981132,9.999000099990002e-05,False,2.5132509027769356
lag_llama:e3,csi300,low,1756,0.08200455580865604,9.999000099990002e-05,False,1.2028767088914467
lag_llama:e3,csi300,high,423,0.1111111111111111,9.999000099990002e-05,False,2.0953168654335235
lag_llama:e3,dax,low,2075,0.08,9.999000099990002e-05,False,1.0431017478394808
lag_llama:e3,dax,high,589,0.11544991511035653,9.999000099990002e-05,False,1.785420690155652
lag_llama:e3,dgs10,low,1997,0.08612919379068602,9.999000099990002e-05,False,2.4912914155433143
lag_llama:e3,dgs10,high,627,0.11642743221690591,9.999000099990002e-05,False,2.9248491043995526
lag_llama:e3,dgs2,low,2146,0.081547064305685,9.999000099990002e-05,False,2.4686010214086145
lag_llama:e3,dgs2,high,478,0.09414225941422594,0.00029997000299970003,False,
lag_llama:e3,dgs30,low,2032,0.0984251968503937,9.999000099990002e-05,False,
lag_llama:e3,dgs30,high,592,0.11486486486486487,9.999000099990002e-05,False,
lag_llama:e3,dgs5,low,1993,0.08730556949322629,9.999000099990002e-05,False,2.573928795597342
lag_llama:e3,dgs5,high,631,0.09033280507131537,9.999000099990002e-05,False,2.873809750090714
lag_llama:e3,eth,low,1546,0.08732212160413971,9.999000099990002e-05,False,2.3473996698562534
lag_llama:e3,eth,high,612,0.08823529411764706,0.00019998000199980003,False,2.5417238108204425
lag_llama:e3,ftse,low,2156,0.0640074211502783,0.005599440055994401,False,0.6023181410959927
lag_llama:e3,ftse,high,495,0.13535353535353536,9.999000099990002e-05,False,2.302844664241949
lag_llama:e3,gold,low,1981,0.08632004038364463,9.999000099990002e-05,False,0.9717285918795983
lag_llama:e3,gold,high,657,0.0928462709284627,9.999000099990002e-05,False,1.3653757109836249
lag_llama:e3,hsi,low,2066,0.10939012584704744,9.999000099990002e-05,False,1.35117604693461
lag_llama:e3,hsi,high,513,0.08382066276803118,0.0021997800219978004,False,1.319599674127282
lag_llama:e3,jnj,low,2147,0.07545412203074056,9.999000099990002e-05,False,1.018323635296138
lag_llama:e3,jnj,high,491,0.0855397148676171,0.0017998200179982,False,1.4718812944751531
lag_llama:e3,jpm,low,2206,0.06527651858567543,0.0023997600239976003,False,1.2100622405856725
lag_llama:e3,jpm,high,432,0.12037037037037036,9.999000099990002e-05,False,2.1482044685770654
lag_llama:e3,ltc,low,2491,0.07426736250501806,9.999000099990002e-05,False,2.4747051251527568
lag_llama:e3,ltc,high,816,0.08823529411764706,9.999000099990002e-05,False,2.8963505677317807
lag_llama:e3,msft,low,1992,0.08132530120481928,9.999000099990002e-05,False,1.3901977637426086
lag_llama:e3,msft,high,646,0.10371517027863777,9.999000099990002e-05,False,1.8808364267138629
lag_llama:e3,ndx,low,1968,0.07977642276422764,9.999000099990002e-05,False,1.2168191483852775
lag_llama:e3,ndx,high,670,0.12835820895522387,9.999000099990002e-05,False,2.014357374980533
lag_llama:e3,nikkei,low,2040,0.07990196078431372,9.999000099990002e-05,False,1.1820521075783872
lag_llama:e3,nikkei,high,525,0.11047619047619048,9.999000099990002e-05,False,1.8116454602831376
lag_llama:e3,nvda,low,1947,0.09347714432460195,9.999000099990002e-05,False,1.9934884216622757
lag_llama:e3,nvda,high,691,0.10274963820549927,9.999000099990002e-05,False,2.4635193918794647
lag_llama:e3,rut,low,2163,0.08645399907535829,9.999000099990002e-05,False,1.128761300206383
lag_llama:e3,rut,high,475,0.10947368421052632,9.999000099990002e-05,False,2.2486883728395353
lag_llama:e3,spx,low,2134,0.06701030927835051,0.0004999500049995,False,0.8937560924163452
lag_llama:e3,spx,high,504,0.1111111111111111,9.999000099990002e-05,False,1.7115182529696418
lag_llama:e3,usdcad,low,1902,0.07676130389064142,9.999000099990002e-05,False,-0.07590966193708154
lag_llama:e3,usdcad,high,831,0.11552346570397112,9.999000099990002e-05,False,0.5082651731457435
lag_llama:e3,usdchf,low,2083,0.08305328852616418,9.999000099990002e-05,False,0.07978051334045569
lag_llama:e3,usdchf,high,649,0.12942989214175654,9.999000099990002e-05,False,1.0503371144699951
lag_llama:e3,wmt,low,2257,0.07532122286220647,9.999000099990002e-05,False,1.1488405167407436
lag_llama:e3,wmt,high,381,0.10761154855643044,9.999000099990002e-05,False,1.4931082090792795
lag_llama:e3,xom,low,2016,0.07490079365079365,9.999000099990002e-05,False,1.2326970204096168
lag_llama:e3,xom,high,622,0.11736334405144695,9.999000099990002e-05,False,2.1697597833921365
lag_llama:e3,xrp,low,1707,0.06795547744581136,0.0013998600139986002,False,2.2460255591973355
lag_llama:e3,xrp,high,451,0.09090909090909091,0.0004999500049995,False,2.799897648014661
gjr_t,aapl,low,1946,0.0565262076053443,0.21547845215478453,True,1.247094919121059
gjr_t,aapl,high,692,0.044797687861271675,0.547045295470453,True,1.4690148365013487
gjr_t,amzn,low,2014,0.054121151936444886,0.41605839416058393,True,1.3603507002489201
gjr_t,amzn,high,624,0.07371794871794872,0.012898710128987101,False,1.7754865486780058
