layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_2:e3,ltc,Q2,827,0.04353083434099154,0.4226577342265773,True,2.3626096462032593
chronos_2:e3,ltc,Q3,827,0.05199516324062878,0.811018898110189,True,2.4931420163681657
chronos_2:e3,ltc,Q4,827,0.03869407496977025,0.1304869513048695,True,2.7652581715054967
chronos_2:e3,msft,Q1,660,0.05757575757575758,0.42555744425557446,True,1.024829865884585
chronos_2:e3,msft,Q2,659,0.07435508345978756,0.0103989601039896,False,1.182714539858717
chronos_2:e3,msft,Q3,660,0.05303030303030303,0.7902209779022098,True,1.3868446698340797
chronos_2:e3,msft,Q4,660,0.05,1.0,True,1.5745166325089257
chronos_2:e3,natgas,Q1,660,0.05,1.0,True,1.4342186921692848
chronos_2:e3,natgas,Q2,660,0.05454545454545454,0.6586341365863414,True,2.0106837924791114
chronos_2:e3,natgas,Q3,660,0.03787878787878788,0.1536846315368463,True,2.1806748261997315
chronos_2:e3,natgas,Q4,661,0.046898638426626324,0.720927907209279,True,2.6489847301853704
chronos_2:e3,ndx,Q1,660,0.05757575757575758,0.42555744425557446,True,0.9759468324564333
chronos_2:e3,ndx,Q2,659,0.0622154779969651,0.18248175182481752,True,0.982414835964856
chronos_2:e3,ndx,Q3,660,0.06363636363636363,0.126987301269873,True,1.125853409732836
chronos_2:e3,ndx,Q4,660,0.051515151515151514,0.9301069893010699,True,1.5198258399121432
chronos_2:e3,nikkei,Q1,642,0.06697819314641744,0.0665933406659334,True,0.8061136612936219
chronos_2:e3,nikkei,Q2,641,0.046801872074883,0.7133286671332867,True,0.8997322309194955
chronos_2:e3,nikkei,Q3,641,0.07020280811232449,0.030496950304969503,False,1.1867958603868927
chronos_2:e3,nikkei,Q4,642,0.0514018691588785,0.9273072692730727,True,1.5953222518017107
chronos_2:e3,nvda,Q1,660,0.06818181818181818,0.05019498050194981,True,1.6488651151994969
chronos_2:e3,nvda,Q2,659,0.042488619119878605,0.3812618738126187,True,1.6935913240306995
chronos_2:e3,nvda,Q3,660,0.06363636363636363,0.126987301269873,True,1.9415330760345304
chronos_2:e3,nvda,Q4,660,0.048484848484848485,0.8639136086391361,True,2.145959470577052
chronos_2:e3,rut,Q1,660,0.06666666666666667,0.07589241075892411,True,0.878475338140304
chronos_2:e3,rut,Q2,659,0.057663125948406675,0.4253574642535746,True,1.01422077934998
chronos_2:e3,rut,Q3,660,0.05454545454545454,0.6586341365863414,True,1.1601813546269157
chronos_2:e3,rut,Q4,660,0.045454545454545456,0.5998400159984002,True,1.3793989122508208
chronos_2:e3,spx,Q1,660,0.05757575757575758,0.42555744425557446,True,0.6992477608528992
chronos_2:e3,spx,Q2,659,0.051593323216995446,0.8551144885511449,True,0.6531898509014508
chronos_2:e3,spx,Q3,660,0.05606060606060606,0.5364463553644635,True,0.7831991108666426
chronos_2:e3,spx,Q4,660,0.03787878787878788,0.1536846315368463,True,1.370692520016054
chronos_2:e3,usdcad,Q1,684,0.05847953216374269,0.33266673332666735,True,-0.37543992942378085
chronos_2:e3,usdcad,Q2,683,0.05124450951683748,0.9316068393160684,True,-0.05386378757373992
chronos_2:e3,usdcad,Q3,683,0.05710102489019034,0.4336566343365663,True,-0.04776375800018561
chronos_2:e3,usdcad,Q4,684,0.049707602339181284,1.0,True,0.22967353037375482
chronos_2:e3,usdchf,Q1,683,0.07320644216691069,0.0100989901009899,False,-0.04468211631433749
chronos_2:e3,usdchf,Q2,683,0.06149341142020498,0.19238076192380762,True,0.08603924550300066
chronos_2:e3,usdchf,Q3,683,0.06442166910688141,0.11708829117088292,True,0.07275892992078106
chronos_2:e3,usdchf,Q4,684,0.04824561403508772,0.8585141485851415,True,0.32680981110665946
chronos_2:e3,wmt,Q1,660,0.05606060606060606,0.5364463553644635,True,0.8678661043099162
chronos_2:e3,wmt,Q2,659,0.05614567526555387,0.5338466153384661,True,0.9530293699353778
chronos_2:e3,wmt,Q3,660,0.05757575757575758,0.42555744425557446,True,1.230997359861907
chronos_2:e3,wmt,Q4,660,0.04242424242424243,0.37936206379362064,True,1.2612397939831324
chronos_2:e3,xom,Q1,660,0.05757575757575758,0.42555744425557446,True,0.8415460596885314
